PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;16;12;28079016_12_8;2020;10;06;00024;V;00022;V;00024;V;00041;V;00058;V;00045;V;00058;V;00153;V;00141;V;00202;V;00169;V;00143;V;00148;V;00101;V;00070;V;00023;V;00025;V;00036;V;00032;V;00038;V;00000;N;00000;N;00000;N;00000;N
28;079;16;14;28079016_14_6;2020;10;06;41.23;V;38.82;V;33.43;V;23.86;V;08.94;V;09.98;V;05.38;V;03.33;V;03.49;V;04.01;V;06.54;V;11.29;V;18.51;V;25.50;V;35.02;V;54.82;V;51.85;V;46.23;V;45.25;V;39.97;V;00000;N;00000;N;00000;N;00000;N
28;079;17;1;28079017_1_38;2020;10;06;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00011;V;00012;V;00013;V;00012;V;00012;V;00012;V;00011;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00000;N;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2020;10;06;00002;V;00001;V;00001;V;00001;V;00001;V;00004;V;00023;V;00058;V;00077;V;00052;V;00058;V;00039;V;00039;V;00025;V;00008;V;00004;V;00005;V;00004;V;00006;V;00016;V;00000;N;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2020;10;06;00022;V;00014;V;00013;V;00016;V;00023;V;00038;V;00054;V;00058;V;00065;V;00057;V;00059;V;00053;V;00054;V;00045;V;00020;V;00012;V;00014;V;00015;V;00019;V;00051;V;00000;N;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2020;10;06;00025;V;00015;V;00015;V;00018;V;00025;V;00043;V;00089;V;00147;V;00182;V;00136;V;00148;V;00113;V;00115;V;00084;V;00032;V;00019;V;00022;V;00022;V;00028;V;00076;V;00000;N;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2020;10;06;42.28;V;45.40;V;42.35;V;40.29;V;29.51;V;15.84;V;03.07;V;05.40;V;03.38;V;06.33;V;08.99;V;14.42;V;18.01;V;27.77;V;47.93;V;51.42;V;52.32;V;52.81;V;50.38;V;25.82;V;00000;N;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2020;10;06;00007;V;00007;V;00006;V;00006;V;00007;V;00007;V;00007;V;00007;V;00008;V;00010;V;00011;V;00011;V;00011;V;00010;V;00009;V;00009;V;00010;V;00010;V;00010;V;00010;V;00000;N;00000;N;00000;N;00000;N
28;079;18;6;28079018_6_48;2020;10;06;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.7;V;001.0;V;000.6;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;18;7;28079018_7_8;2020;10;06;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00010;V;00037;V;00077;V;00101;V;00046;V;00040;V;00023;V;00001;V;00001;V;00001;V;00002;V;00002;V;00001;V;00000;N;00000;N;00000;N;00000;N
